org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:28:27,584 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:260) Target auth state: UNCHALLENGED 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:28:27,599 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:266) Proxy auth state: UNCHALLENGED 
org.apache.http.headers 2018-01-04 21:28:27,602 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:135) http-outgoing-0 >> POST /session HTTP/1.1 
org.apache.http.headers 2018-01-04 21:28:27,603 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Content-Type: application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:28:27,604 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Content-Length: 122 
org.apache.http.headers 2018-01-04 21:28:27,604 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Host: localhost:36450 
org.apache.http.headers 2018-01-04 21:28:27,605 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Connection: Keep-Alive 
org.apache.http.headers 2018-01-04 21:28:27,611 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_91) 
org.apache.http.headers 2018-01-04 21:28:27,611 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Accept-Encoding: gzip,deflate 
org.apache.http.wire 2018-01-04 21:28:27,612 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "POST /session HTTP/1.1[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,613 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Content-Length: 122[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Host: localhost:36450[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_91)[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:27,614 org.apache.http.impl.conn.Wire.wire(Wire.java:86) http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"chrome","chromeOptions":{"args":[],"extensions":[]},"version":"","platform":"ANY"}}" 
org.apache.http.wire 2018-01-04 21:28:31,595 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:31,595 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "Content-Length:778[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:31,597 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:31,598 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "Connection:close[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:31,599 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "[\r][\n]" 
org.apache.http.wire 2018-01-04 21:28:31,600 org.apache.http.impl.conn.Wire.wire(Wire.java:86) http-outgoing-0 << "{"sessionId":"67c732ffc9bea0cbcd2258c3a147a1c2","status":0,"value":{"acceptSslCerts":true,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"2.30.477700 (0057494ad8732195794a7b32078424f92a5fce41)","userDataDir":"C:\\Users\\rohit\\AppData\\Local\\Temp\\scoped_dir8328_30844"},"cssSelectorsEnabled":true,"databaseEnabled":false,"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Windows NT","rotatable":false,"takesHeapSnapshot":true,"takesScreenshot":true,"unexpectedAlertBehaviour":"","version":"63.0.3239.84","webStorageEnabled":true}}" 
org.apache.http.headers 2018-01-04 21:28:31,608 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:124) http-outgoing-0 << HTTP/1.1 200 OK 
org.apache.http.headers 2018-01-04 21:28:31,608 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Content-Length:778 
org.apache.http.headers 2018-01-04 21:28:31,609 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Content-Type:application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:28:31,609 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Connection:close 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:28:31,623 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.close(LoggingManagedHttpClientConnection.java:81) http-outgoing-0: Close connection 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:28:31,623 org.apache.http.impl.execchain.ConnectionHolder.releaseConnection(ConnectionHolder.java:103) Connection discarded 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:28:31,623 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection(PoolingHttpClientConnectionManager.java:320) Connection released: [id: 0][route: {}->http://localhost:36450][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
